ID,Source,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
269,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,Off-Road Vehicles (New),
270,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,Off-Road Vehicles (Used),
271,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,,
272,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,Pickup Trucks (New),
273,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,Pickup Trucks (Used),
274,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,,
275,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,SUVs (New),
276,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,SUVs (Used),
277,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,,
278,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,Scooters & Mopeds (New),
279,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,Scooters & Mopeds (Used),
280,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,,
281,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,Sedans (New),
282,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,Sedans (Used),
283,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,,
284,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,Sports Cars (New),
285,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sports Cars,Sports Cars (Used),
286,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,,
287,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,Station Wagons (New),
288,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Station Wagons,Station Wagons (Used),
289,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,,
290,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,Vans & Minivans (New),
291,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Vans & Minivans,Vans & Minivans (Used),
292,Google,In-market audiences,Autos & Vehicles,Vehicles (Other),,,,
293,Google,In-market audiences,Autos & Vehicles,Vehicles (Other),Bicycles & Accessories,,,
294,Google,In-market audiences,Autos & Vehicles,Vehicles (Other),Boats & Watercraft,,,
295,Google,In-market audiences,Autos & Vehicles,Vehicles (Other),Campers & RVs,,,
296,Google,In-market audiences,Autos & Vehicles,Vehicles (Other),Commercial Vehicles,,,
297,Google,In-market audiences,Baby & Children's Products,,,,,
298,Google,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,,,,
299,Google,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,Baby & Toddler Apparel,,,
300,Google,In-market audiences,Baby & Children's Products,Baby & Children's Apparel,Children's Apparel,,,
301,Google,In-market audiences,Baby & Children's Products,Child Car Seats,,,,
302,Google,In-market audiences,Baby & Children's Products,Childcare & Education,,,,
303,Google,In-market audiences,Baby & Children's Products,Childcare & Education,Childcare,,,
304,Google,In-market audiences,Baby & Children's Products,Childcare & Education,Early Childhood Education,,,
305,Google,In-market audiences,Baby & Children's Products,Diapers & Baby Hygiene Products,,,,
306,Google,In-market audiences,Baby & Children's Products,Infant & Toddler Feeding,,,,
